subject,run,onset,duration,genre,track,start,end
sub-001,05,240,15,'hiphop',42,9.9,24.9
sub-001,05,255,15,'rock',69,6.37,21.37
sub-001,05,270,15,'blues',47,14.05,29.05
sub-001,05,285,15,'jazz',59,0.26,15.26
sub-001,05,300,15,'reggae',47,6.57,21.57
sub-001,05,315,15,'pop',79,13.47,28.47
sub-001,05,330,15,'country',59,7.04,22.04
sub-001,05,345,15,'classical',25,3.72,18.72
sub-001,05,360,15,'metal',26,8.41,23.41
sub-001,05,375,15,'disco',72,5.53,20.53
sub-001,05,390,15,'hiphop',42,9.9,24.9
sub-001,05,405,15,'rock',69,6.37,21.37
sub-001,05,420,15,'blues',47,14.05,29.05
sub-001,05,435,15,'jazz',59,0.26,15.26
sub-001,05,450,15,'reggae',47,6.57,21.57
sub-001,05,465,15,'pop',79,13.47,28.47
sub-001,05,480,15,'country',59,7.04,22.04
sub-001,05,495,15,'classical',25,3.72,18.72
sub-001,05,510,15,'metal',26,8.41,23.41
sub-001,05,525,15,'disco',72,5.53,20.53
sub-001,05,540,15,'hiphop',42,9.9,24.9
sub-001,05,555,15,'rock',69,6.37,21.37
sub-001,05,570,15,'blues',47,14.05,29.05
sub-001,05,585,15,'jazz',59,0.26,15.26
sub-001,05,600,15,'reggae',47,6.57,21.57
sub-001,06,0,15,'reggae',13,3.6,18.6
sub-001,06,15,15,'blues',16,8.35,23.35
sub-001,06,30,15,'pop',24,14.44,29.44
sub-001,06,45,15,'classical',7,8.91,23.91
sub-001,06,60,15,'disco',4,6.47,21.47
sub-001,06,75,15,'metal',22,0.36,15.36
sub-001,06,90,15,'jazz',69,1.97,16.97
sub-001,06,105,15,'hiphop',7,0.06,15.06
sub-001,06,120,15,'country',48,14.72,29.72
sub-001,06,135,15,'rock',75,8.92,23.92
sub-001,06,150,15,'reggae',13,3.6,18.6
sub-001,06,165,15,'blues',16,8.35,23.35
sub-001,06,180,15,'pop',24,14.44,29.44
sub-001,06,195,15,'classical',7,8.91,23.91
sub-001,06,210,15,'disco',4,6.47,21.47
sub-001,06,225,15,'metal',22,0.36,15.36
sub-001,06,240,15,'jazz',69,1.97,16.97
sub-001,06,255,15,'hiphop',7,0.06,15.06
sub-001,06,270,15,'country',48,14.72,29.72
sub-001,06,285,15,'rock',75,8.92,23.92
sub-001,06,300,15,'reggae',13,3.6,18.6
sub-001,06,315,15,'blues',16,8.35,23.35
sub-001,06,330,15,'pop',24,14.44,29.44
sub-001,06,345,15,'classical',7,8.91,23.91
sub-001,06,360,15,'disco',4,6.47,21.47
sub-001,06,375,15,'metal',22,0.36,15.36
sub-001,06,390,15,'jazz',69,1.97,16.97
sub-001,06,405,15,'hiphop',7,0.06,15.06
sub-001,06,420,15,'country',48,14.72,29.72
sub-001,06,435,15,'rock',75,8.92,23.92
sub-001,06,450,15,'reggae',13,3.6,18.6
sub-001,06,465,15,'blues',16,8.35,23.35
sub-001,06,480,15,'pop',24,14.44,29.44
sub-001,06,495,15,'classical',7,8.91,23.91
sub-001,06,510,15,'disco',4,6.47,21.47
sub-001,06,525,15,'metal',22,0.36,15.36
sub-001,06,540,15,'jazz',69,1.97,16.97
sub-001,06,555,15,'hiphop',7,0.06,15.06
sub-001,06,570,15,'country',48,14.72,29.72
sub-001,06,585,15,'rock',75,8.92,23.92
sub-001,06,600,15,'reggae',13,3.6,18.6
sub-002,01,0,15,'pop',32,10.7,25.7
sub-002,01,15,15,'rock',32,4.48,19.48
sub-002,01,30,15,'country',85,1.07,16.07
sub-002,01,45,15,'blues',17,6.44,21.44
sub-002,01,60,15,'disco',75,11.03,26.03
sub-002,01,75,15,'metal',39,13.11,28.11
sub-002,01,90,15,'reggae',33,12.55,27.55
sub-002,01,105,15,'classical',45,8.35,23.35
sub-002,01,120,15,'hiphop',95,8.59,23.59
sub-002,01,135,15,'jazz',44,9.49,24.49
sub-002,01,150,15,'pop',32,10.7,25.7
sub-002,01,165,15,'rock',32,4.48,19.48
sub-002,01,180,15,'country',85,1.07,16.07
sub-002,01,195,15,'blues',17,6.44,21.44
sub-002,01,210,15,'disco',75,11.03,26.03
sub-002,01,225,15,'metal',39,13.11,28.11
sub-002,01,240,15,'reggae',33,12.55,27.55
sub-002,01,255,15,'classical',45,8.35,23.35
sub-002,01,270,15,'hiphop',95,8.59,23.59
sub-002,01,285,15,'jazz',44,9.49,24.49
sub-002,01,300,15,'pop',32,10.7,25.7
